Language,Subject,Grapheme,L,u,v,BerlinKay
Dutch,37016,U,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,37016,V,53.7251287759358,40.5143644247789,-80.0873873831268,Purple
Dutch,37016,W,69.6080844432367,96.4335220556687,65.2253384095396,Orange
Dutch,37016,X,30.8253879858165,-0.670619819340094,-58.1640561272841,Blue
Dutch,37016,Y,81.180025940917,-59.5740877919944,0.598429696454224,Blue
Dutch,37016,Z,53.7251287759358,40.5143644247789,-80.0873873831268,Purple
Dutch,46830,A,62.8939833916534,51.6451540667933,-61.5072095850308,Pink
Dutch,46830,B,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46830,C,77.7043635899527,-2.80374814107083e-14,0,Grey
Dutch,46830,D,43.8886656568354,61.3099064155807,30.7471334830852,Brown
Dutch,46830,E,52.4184970914419,-25.4053124502217,-48.3445061182237,Blue
Dutch,46830,F,72.530001127448,-63.406486809027,81.0861247254546,Green
Dutch,46830,G,56.1068135290404,86.7569051573103,47.6558303453596,Orange
Dutch,46830,H,53.585013452169,0,0,Grey
Dutch,46830,I,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Dutch,46830,J,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Dutch,46830,K,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Dutch,46830,L,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Dutch,46830,M,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Dutch,46830,N,87.6379900836444,-83.7241687747823,107.068988260685,Green
Dutch,46830,O,100,3.60822483003176e-14,0,White
Dutch,46830,P,39.2828741443653,107.916170947558,23.2615205954897,Red
Dutch,46830,Q,0,0,0,Black
Dutch,46830,R,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46830,S,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,46830,T,72.530001127448,-63.406486809027,81.0861247254546,Green
Dutch,46830,U,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Dutch,46830,V,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,46830,W,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Dutch,46830,X,0,0,0,Black
Dutch,46830,Y,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Dutch,46830,Z,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46831,B,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46831,C,70.8746940117447,44.7375843247334,69.7831674913883,Orange
Dutch,46831,D,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46831,E,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,46831,F,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46831,K,0,0,0,Black
Dutch,46831,M,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Dutch,46831,N,72.530001127448,-63.406486809027,81.0861247254546,Green
Dutch,46831,R,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46831,S,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Dutch,46831,U,0,0,0,Black
Dutch,46831,Z,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Dutch,46855,A,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Dutch,46855,B,47.7849523714746,-17.8053776814676,-101.125273682917,Blue
Dutch,46855,C,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Dutch,46855,D,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46855,E,31.2291244354632,-14.3028253689224,-3.08299918326941,Grey
Dutch,46855,F,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46855,G,46.1694046045359,-44.1075271084152,56.4060339002278,Green
Dutch,46855,H,30.8253879858165,-0.670619819340094,-58.1640561272841,Blue
Dutch,46855,I,73.392515007863,7.72071724899955,51.1489334298934,Yellow
Dutch,46855,J,37.6704361435912,92.1414175716915,19.8612447395218,Red
Dutch,46855,K,70.8746940117447,44.7375843247334,69.7831674913883,Orange
Dutch,46855,L,52.4184970914419,-25.4053124502217,-48.3445061182237,Blue
Dutch,46855,M,39.2828741443653,107.916170947558,23.2615205954897,Red
Dutch,46855,N,28.244751354346,92.6092829887444,19.9620939536769,Red
Dutch,46855,O,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,46855,P,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,46855,Q,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,46855,R,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Dutch,46855,S,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,46855,T,15.8379161271096,-3.65313322957258,-49.2321896028992,Blue
Dutch,46855,U,39.2828741443653,107.916170947558,23.2615205954897,Red
Dutch,46855,V,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46855,W,47.7849523714746,-17.8053776814676,-101.125273682917,Blue
Dutch,46855,X,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46855,Z,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46856,A,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,46856,B,72.530001127448,-63.406486809027,81.0861247254546,Green
Dutch,46856,C,80.0964540520951,12.8021992561088,-16.3718379283109,Purple
Dutch,46856,D,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46856,E,69.6080844432367,96.4335220556687,65.2253384095396,Orange
Dutch,46856,F,42.2190315125643,-10.6190032872537,36.0017465845528,Green
Dutch,46856,G,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46856,H,53.585013452169,0,0,Grey
Dutch,46856,I,86.0968720945921,-24.7007761962172,-10.1438214955801,Blue
Dutch,46856,J,55.9009023494611,-9.75915703573645,-15.835410303416,Grey
Dutch,46856,K,50.5362298747847,-43.4481810680305,55.5628423285373,Green
Dutch,46856,L,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,46856,M,42.2190315125643,-10.6190032872537,36.0017465845528,Green
Dutch,46856,N,56.1068135290404,86.7569051573103,47.6558303453596,Orange
Dutch,46856,O,100,3.60822483003176e-14,0,White
Dutch,46856,P,15.8379161271096,-3.65313322957258,-49.2321896028992,Blue
Dutch,46856,Q,59.2759634385934,42.2295957283174,59.460575168255,Orange
Dutch,46856,R,31.2291244354632,-14.3028253689224,-3.08299918326941,Grey
Dutch,46856,S,96.5374896142362,0,-6.9665793411004e-14,White
Dutch,46856,T,0,0,0,Black
Dutch,46856,U,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46856,V,56.1068135290404,86.7569051573103,47.6558303453596,Orange
Dutch,46856,W,77.7043635899527,-2.80374814107083e-14,0,Grey
Dutch,46856,X,0,0,0,Black
Dutch,46856,Y,73.4222436866115,30.8133269820014,-39.405010443081,Purple
Dutch,46856,Z,0,0,0,Black
Dutch,46857,A,70.8746940117447,44.7375843247334,69.7831674913883,Orange
Dutch,46857,B,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46857,C,74.80080980648,70.8437854949112,37.7429618957788,Orange
Dutch,46857,D,53.585013452169,0,0,Grey
Dutch,46857,E,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Dutch,46857,F,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46857,G,53.585013452169,0,0,Grey
Dutch,46857,H,31.2291244354632,-14.3028253689224,-3.08299918326941,Grey
Dutch,46857,I,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Dutch,46857,J,69.6080844432367,96.4335220556687,65.2253384095396,Orange
Dutch,46857,K,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46857,L,15.8379161271096,-3.65313322957258,-49.2321896028992,Blue
Dutch,46857,M,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46857,N,57.7860064088426,151.522169679508,45.4557204044522,Red
Dutch,46857,O,0,0,0,Black
Dutch,46857,P,43.8886656568354,61.3099064155807,30.7471334830852,Brown
Dutch,46857,Q,0,0,0,Black
Dutch,46857,R,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46857,S,62.8939833916534,51.6451540667933,-61.5072095850308,Pink
Dutch,46857,T,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46857,U,0,0,0,Black
Dutch,46857,V,61.8311679279895,57.6015964502802,48.6486780577356,Orange
Dutch,46857,W,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46857,X,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,46857,Y,69.6080844432367,96.4335220556687,65.2253384095396,Orange
Dutch,46857,Z,56.1068135290404,86.7569051573103,47.6558303453596,Orange
Dutch,46860,A,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,46860,B,15.8379161271096,-3.65313322957258,-49.2321896028992,Blue
Dutch,46860,C,0,0,0,Black
Dutch,46860,D,0,0,0,Black
Dutch,46860,E,72.4600131208335,-49.8319933461595,-67.032047650142,Blue
Dutch,46860,F,65.7106971892033,-50.1132637368068,-3.97919661505071,Green
Dutch,46860,G,20.5093454680551,10.1061431320304,-61.270818956904,Purple
Dutch,46860,H,95.9511494708583,1.39070465836727,18.7421128986262,Brown
Dutch,46860,I,100,3.60822483003176e-14,0,White
Dutch,46860,J,87.7608881100512,-3.16661015584326e-14,-6.33322031168651e-14,White
Dutch,46860,K,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Dutch,46860,L,87.7608881100512,-3.16661015584326e-14,-6.33322031168651e-14,White
Dutch,46860,M,37.6704361435912,92.1414175716915,19.8612447395218,Red
Dutch,46860,N,69.6080844432367,96.4335220556687,65.2253384095396,Orange
Dutch,46860,O,0,0,0,Black
Dutch,46860,P,0,0,0,Black
Dutch,46860,Q,0,0,0,Black
Dutch,46860,R,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Dutch,46860,S,88.3721965118901,-80.3201756059368,75.0334484419045,Green
Dutch,46860,T,77.7043635899527,-2.80374814107083e-14,0,Grey
Dutch,46860,U,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46860,V,44.9368145274019,93.253731767522,-32.4980229151277,Pink
Dutch,46860,W,37.6704361435912,92.1414175716915,19.8612447395218,Red
Dutch,46860,X,77.7043635899527,-2.80374814107083e-14,0,Grey
Dutch,46860,Y,87.7608881100512,-3.16661015584326e-14,-6.33322031168651e-14,White
Dutch,46860,Z,29.891501474873,41.7806851250195,-53.4303983024014,Purple
Dutch,46863,A,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,46863,B,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46863,D,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46863,E,46.1694046045359,-44.1075271084152,56.4060339002278,Green
Dutch,46863,G,43.8886656568354,61.3099064155807,30.7471334830852,Brown
Dutch,46863,H,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,46863,I,97.3722894092179,2.18056952865221,29.3868867436498,Yellow
Dutch,46863,L,97.3722894092179,2.18056952865221,29.3868867436498,Yellow
Dutch,46863,M,47.7849523714746,-17.8053776814676,-101.125273682917,Blue
Dutch,46863,N,47.7849523714746,-17.8053776814676,-101.125273682917,Blue
Dutch,46863,O,100,3.60822483003176e-14,0,White
Dutch,46863,R,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,46863,S,32.2407492302177,-9.66059513497557,-130.192966276681,Blue
Dutch,46863,T,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,46863,U,29.891501474873,41.7806851250195,-53.4303983024014,Purple
Dutch,46863,W,24.9236991589903,-7.46811946340464,-100.645623987401,Blue
Dutch,46864,A,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Dutch,46864,C,72.530001127448,-63.406486809027,81.0861247254546,Green
Dutch,46864,I,100,3.60822483003176e-14,0,White
Dutch,46864,O,0,0,0,Black
Dutch,46864,P,20.5093454680551,10.1061431320304,-61.270818956904,Purple
Dutch,46864,Q,0,0,0,Black
Dutch,46864,W,50.5362298747847,-43.4481810680305,55.5628423285373,Green
Dutch,46876,A,53.484183785248,175.364684555026,37.8001664225153,Red
Dutch,46876,B,53.585013452169,0,0,Grey
Dutch,46876,C,69.237795605577,0,-4.99651066561413e-14,Grey
Dutch,46876,D,31.2291244354632,-14.3028253689224,-3.08299918326941,Grey
Dutch,46876,E,66.2704100612776,80.1808347253547,17.2831200546742,Red
Dutch,46876,F,53.585013452169,0,0,Grey
Dutch,46876,G,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,46876,H,77.7043635899527,-2.80374814107083e-14,0,Grey
Dutch,46876,I,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,46876,J,70.8746940117447,44.7375843247334,69.7831674913883,Orange
Dutch,46876,K,69.237795605577,0,-4.99651066561413e-14,Grey
Dutch,46876,L,69.237795605577,0,-4.99651066561413e-14,Grey
Dutch,46876,M,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,46876,N,53.585013452169,0,0,Grey
Dutch,46876,P,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,46876,Q,42.2190315125643,-10.6190032872537,36.0017465845528,Green
Dutch,46876,R,31.2291244354632,-14.3028253689224,-3.08299918326941,Grey
Dutch,46876,S,69.237795605577,0,-4.99651066561413e-14,Grey
Dutch,46876,T,69.237795605577,0,-4.99651066561413e-14,Grey
Dutch,46876,U,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Dutch,46876,V,95.9511494708583,1.39070465836727,18.7421128986262,Brown
Dutch,46876,W,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,46876,X,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,46876,Y,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Dutch,46876,Z,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Dutch,46878,A,39.2828741443653,107.916170947558,23.2615205954897,Red
Dutch,46878,B,52.4184970914419,-25.4053124502217,-48.3445061182237,Blue
Dutch,46878,C,76.5043553357898,-25.598862045633,81.4417697943035,Green
Dutch,46878,D,84.5561167363605,-3.050974799392e-14,-6.101949598784e-14,Grey
Dutch,46878,E,72.0560779112135,-22.7467742279372,29.0892598686871,Green
Dutch,46878,F,76.5043553357898,-25.598862045633,81.4417697943035,Green
Dutch,46878,G,72.0560779112135,-22.7467742279372,29.0892598686871,Green
Dutch,46878,H,52.8206036710437,-9.17259186658442,-14.8729895142063,Grey
Dutch,46878,I,96.5374896142362,0,-6.9665793411004e-14,White
Dutch,46878,J,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46878,K,72.0560779112135,-22.7467742279372,29.0892598686871,Green
Dutch,46878,L,55.9009023494611,-9.75915703573645,-15.835410303416,Grey
Dutch,46878,M,39.2828741443653,107.916170947558,23.2615205954897,Red
Dutch,46878,N,73.392515007863,7.72071724899955,51.1489334298934,Yellow
Dutch,46878,O,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,46878,P,0,0,0,Black
Dutch,46878,Q,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,46878,R,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46878,S,91.9092411248639,-41.2491877107489,102.380984025339,Green
Dutch,46878,T,76.5043553357898,-25.598862045633,81.4417697943035,Green
Dutch,46878,U,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,46878,V,73.392515007863,7.72071724899955,51.1489334298934,Yellow
Dutch,46878,W,44.413560147816,0,-3.20508221030917e-14,Grey
Dutch,46878,X,73.392515007863,7.72071724899955,51.1489334298934,Yellow
Dutch,46878,Y,75.0053871869809,21.8050971921142,32.0718524810983,Brown
Dutch,46878,Z,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Dutch,46884,A,47.2433535975566,138.667884336048,19.7990197962944,Red
Dutch,46884,B,25.681533305254,84.2049680527698,18.1505290764431,Red
